id,first_name,last_name,Website
0,Joshua,Attwood,http://www.joshattwood.com/
1,Jane,Barges,
3,Amrita,Bisla,https://amritabisla.com/
4,Lisa,Boser,https://www.boserlisa.com/
5,Alizee,Bourgeois,
6,Ava,Braddock,https://www.avabb.co.uk/
7,Ben,Browning,http://www.brwnng.com/
8,Harry,Campbell,
9,Alex,Colehan,https://alexcolehan.co.uk/
10,Lettie,Conca,https://lettiecnc.com/
11,Joshua,Conway,https://www.joshconwaydesign.com/
12,Ruby,Cooper,https://www.ruby-cooper.com/
13,Ellena,Cousins,http://ellecousinsportfolio.com/index.html
14,Tom,Darlington,http://tomdarlingtondesign.com/
15,Priyah,De Chiara,
16,Toby,Dexter,http://toby-dexter.com/
17,Harry,Dickinson,
18,William,Eels,https://www.willeels.com/
19,Dominic,Fagan,https://www.andmagnifico.com/
20,Micol,Galli,http://www.micolgalli.com/
21,Jakob,Hardiman,http://jbobdesigns.co.uk/
22,Isobel,Jarvis,https://www.isobeljarvis.com/
23,Hannah,Johnson,https://hannah1801.wixsite.com/hannahsportfolio
24,Max,Kohler,http://www.maxkoehler.com/
25,Rae,Kuan,http://www.raekuan.co/
26,Man-Ni,Lan,http://www.mannilan.uk/
27,Sophia,Lok-Yin Ng,http://www.portlio.uk/
28,Katherine,Marriott,https://www.katherinemarriott.co.uk/
29,Jack,Martin,https://www.jackwilliammartin.com/
30,Manasi,Mehta,https://www.manasimehta.com/
31,Charlie,Ng,http://www.charlieng.uk/
32,Matt,Organ,https://www.mattorgandesign.com/
33,Joseph,Parkinson,https://www.josephparkinson.com/
35,Jordan,Polk,
36,Mike,Raymond,https://www.mikeraymond.co.uk/
37,Ivan,Rerat,https://www.ivanrerat.com/
38,Ibrahim,Romman,
39,Shawn,Sawyers,http://www.shawnsawyers.com/
40,Marco,Service,http://www.marcoservice.co.uk/
41,Oliver,Sharland-Harris,
42,Jam,Shing Kwan,https://shingkwanjam.wixsite.com/2018
43,Jonathan,Sivel,https://www.jsivel.com/
44,Natasha,Smith-Langridge,http://natasha-smith-langridge.com
45,Alice,Tomlinson,https://dinosaur-oarfish.squarespace.com/
46,Imogen,Walker,http://imogen-walker.com/
47,Alice,Watkins,https://www.alicedaisy.com/
48,Jordan,Weaver,http://jordanweaver.co.uk/
49,Adam,Williams,https://adam-williams.org
50,Cameron,Wilson,
51,Hurley,Woodford,
52,Yiming,Yang,https://www.yimingyang.org/
53,Keno,Zhang,
54,Yannie,Chang,https://www.yanniechang.com/
